Región,Comuna,Latitude,Longitude,Razón social,Nombre de Establecimiento,Rubro,ID Establecimiento,Generación Residuos Peligrosos ton/año (2016),Emisión al aire año ton/año (2016),Emisión CO2 ton/año (2016),Emisión NOX ton/año (2016),Emisión SO2 ton/año (2016),"Emisión MP2,5 ton/año (2016)",Emisión MP 10 ton/año (2016),Generación de residuos no peligrosos ton/año 2016,Destinatario de residuos no peligrosos ton/año (2016)
Araucanía,Carahue,-38.7151231,-73.16065324,AGUAS ARAUCANIA S.A.,PLANTA ELEVADORA DE AGUAS SERVIDAS - QUILLEM - CARAHUE,Gestor de residuos,5401875,-,0,-,-,-,-,-,-,-
Araucanía,Nueva Imperial,-38.71502368,-73.02746217,0,RELLENO SANITARIO DE NUEVA IMPERIAL,Gestor de residuos,5469500,-,-,-,-,-,-,-,-,-
Araucanía,Temuco,-38.7146294,-72.57153521,AGUAS ARAUCANIA S.A.,PLANTA DE TRATAMIENTO DE AGUA POTABLE - MARIPOSA- TEMUCO,Gestor de residuos,5401791,-,-,-,-,-,-,-,-,-
Araucanía,Temuco,-38.71453606,-72.5622923,COMERCIAL DAS LIMITADA,F 358 RUDENCINDO,Comercio,5465081,-,-,-,-,-,-,-,-,-
Araucanía,Temuco,-38.71440266,-72.55160179,AGUAS ARAUCANIA S.A.,RECINTO SONDAJES DE AGUA POTABLE SECTOR NORTE - TEMUCO,Gestor de residuos,5459235,-,61.2926496,61.2926496,0,0,0,0,-,-
Araucanía,Carahue,-38.7141464,-73.17133971,AGUAS ARAUCANIA S.A.,PLANTA ELEVADORA DE AGUAS SERVIDAS -NAUTICA -CARAHUE,Gestor de residuos,5401742,-,9.54311904,9.54311904,0,0,0,0,-,-
Araucanía,Temuco,-38.71405371,-72.61975148,AGUAS ARAUCANIA S.A.,PLANTA ELEVADORA DE AGUAS SERVIDAS - SAN EUGENIO - TEMUCO,Gestor de residuos,5401894,-,0,-,-,-,-,-,-,-
Araucanía,Temuco,-38.71379185,-72.55384213,COMERCIAL AMAR HERMANOS Y COMPANIA LIMITADA,"SUPERMERCADO EL TRÉBOL TEMUCO, CALLE BARROS ARANA",Comercio,5462125,-,0,-,-,-,-,-,-,-
Araucanía,Temuco,-38.71368242,-72.64545496,AGUAS ARAUCANIA S.A.,PLANTA ELEVADORA DE AGUAS SERVIDAS - EL CARMEN - TEMUCO,Gestor de residuos,5401848,-,0,0,0,0,0,0,-,-
Araucanía,Temuco,-38.71361377,-72.61850107,I MUNICIPALIDAD DE TEMUCO,CESFAM PEDRO DE VALDIVIA,Otras actividades,5469320,-,-,-,-,-,-,-,-,-
